run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
1,BR,ND,3,5,0.998634,0.63452,0.216728,13,4,122,122,54,1040
2,BR,ND,3,15,0.99748,0.485698,0.121878,15,3,49,0,92,8100
3,BR,ND,5,5,0.936227,0.689765,0.106035,11,2,20,0,84,3520
4,BR,ND,7,5,0.99956,0.595247,0.28966,3,3,388,388,54,540
5,BR,ND,7,20,0.97869,0.58198,0.142663,13,2,121,0,87,16640
6,BR,ND,5,10,0.979404,0.685021,0.155667,13,4,24,0,86,2080
7,BR,ND,5,10,0.853205,0.665023,0.139932,7,3,26,0,73,2520
8,BR,ND,3,10,0.802089,0.447239,0.186074,4,2,121,0,73,2560
9,BR,ND,3,20,0.905567,0.550651,0.221662,1,2,247,134,57,1280
10,BR,ND,7,5,0.959449,0.506507,0.150963,1,3,38,0,61,180
11,BR,ND,3,15,0.974151,0.603766,0.106116,15,3,42,0,91,8100
12,BR,ND,5,5,0.843819,0.673549,0.132183,13,3,17,0,86,2340
13,BR,ND,5,20,0.913165,0.525019,0.159406,7,3,68,0,77,5040
14,BR,ND,5,15,0.842318,0.43484,0.239006,15,4,239,239,54,3600
15,BR,ND,7,20,0.847131,0.659932,0.131027,8,4,24,0,77,2560
16,BR,ND,5,20,0.960647,0.637527,0.214762,5,2,235,0,75,6400
17,BR,ND,7,15,0.821012,0.624453,0.131077,5,2,67,0,71,4800
18,BR,ND,7,20,0.887655,0.587879,0.244314,5,4,197,197,54,1600
19,BR,ND,7,5,0.908473,0.607141,0.245911,4,3,248,248,54,720
20,BR,ND,7,20,0.930872,0.549271,0.171782,15,2,151,0,95,19200
21,BR,ND,7,5,0.866668,0.460516,0.177459,13,2,97,0,88,4160
22,BR,ND,7,15,0.966946,0.491247,0.13446,13,4,30,0,89,3120
23,BR,ND,7,20,0.994618,0.588943,0.182532,11,2,153,0,85,14080
24,BR,ND,3,5,0.832349,0.652565,0.24327,12,4,164,164,54,960
25,BR,ND,7,5,0.984807,0.569196,0.168543,5,2,54,0,71,1600
26,BR,ND,5,5,0.850321,0.55083,0.221362,2,2,169,157,59,640
27,BR,ND,3,10,0.937582,0.42172,0.243235,11,2,242,0,87,7040
28,BR,ND,5,15,0.801908,0.48387,0.203714,5,2,153,0,73,4800
29,BR,ND,5,5,0.818496,0.535498,0.147882,10,3,23,0,81,1800
30,BR,ND,7,5,0.808445,0.63542,0.249198,9,4,228,228,54,720
31,BR,ND,3,5,0.855814,0.578155,0.240342,12,4,152,152,54,960
32,BR,ND,5,5,0.958109,0.56788,0.168865,6,3,56,0,75,1080
33,BR,ND,5,5,0.966072,0.480638,0.276864,13,2,375,0,87,4160
34,BR,ND,5,10,0.814658,0.668593,0.146919,10,2,79,0,82,6400
35,BR,ND,5,5,0.904173,0.474869,0.18772,4,4,80,80,54,320
36,BR,ND,7,20,0.815887,0.651462,0.223776,8,4,124,0,79,2560
37,BR,ND,7,5,0.813553,0.616336,0.182843,5,3,74,0,71,900
38,BR,ND,7,20,0.963533,0.416744,0.138336,2,4,39,0,64,640
39,BR,ND,7,15,0.897024,0.659097,0.126248,11,4,16,0,85,2640
40,BR,ND,7,15,0.807595,0.404082,0.131384,9,3,45,0,80,4860
41,BR,ND,7,5,0.984618,0.487372,0.200795,14,3,104,0,91,2520
42,BR,ND,3,10,0.961184,0.558048,0.21853,10,4,145,145,54,1600
43,BR,ND,3,20,0.80631,0.462796,0.26922,8,3,292,0,78,5760
44,BR,ND,5,20,0.981647,0.461945,0.205909,12,4,114,0,85,3840
45,BR,ND,7,20,0.904286,0.649749,0.124418,14,4,30,0,93,4480
46,BR,ND,5,10,0.897963,0.436253,0.283252,4,2,392,0,73,2560
47,BR,ND,5,20,0.940069,0.439312,0.252198,12,4,258,143,82,3840
48,BR,ND,7,5,0.970973,0.578547,0.111018,8,3,12,0,77,1440
49,BR,ND,7,20,0.807964,0.638369,0.258224,1,3,317,317,54,720
50,BR,ND,3,20,0.815651,0.510992,0.262756,3,2,368,0,69,3840
51,BR,ND,7,10,0.871623,0.517799,0.207915,7,3,151,0,76,2520
52,BR,ND,5,5,0.953735,0.623569,0.186599,5,3,70,0,73,900
53,BR,ND,5,15,0.99173,0.636086,0.183373,11,4,87,87,54,2640
54,BR,ND,5,15,0.809971,0.56909,0.216484,2,4,121,121,54,480
55,BR,ND,7,5,0.901547,0.466621,0.257629,10,3,295,0,83,1800
56,BR,ND,7,5,0.825643,0.525846,0.24276,14,3,257,0,92,2520
57,BR,ND,7,10,0.9345,0.554384,0.262192,8,4,274,274,54,1280
58,BR,ND,7,15,0.833986,0.6546,0.202213,9,2,172,0,83,8640
59,BR,ND,5,5,0.873756,0.41825,0.244902,3,3,229,229,54,540
60,BR,ND,7,15,0.984472,0.478652,0.130268,7,2,72,0,75,6720
61,BR,ND,7,20,0.92069,0.604099,0.285813,14,2,496,0,89,17920
62,BR,ND,7,15,0.815019,0.652026,0.105337,12,3,37,0,89,6480
63,BR,ND,7,15,0.966318,0.427124,0.105247,11,4,15,0,83,2640
64,BR,ND,7,10,0.963495,0.523762,0.12564,1,4,21,21,54,160
65,BR,ND,3,15,0.826689,0.616999,0.233478,6,4,195,195,54,1440
66,BR,ND,7,10,0.939424,0.434769,0.29876,5,3,436,0,78,1800
67,BR,ND,7,10,0.981603,0.657096,0.235162,10,3,222,0,84,3600
68,BR,ND,3,15,0.915586,0.680576,0.258949,10,4,243,243,54,2400
69,BR,ND,5,5,0.873397,0.538766,0.190483,14,3,111,0,89,2520
70,BR,ND,7,5,0.956682,0.558355,0.11951,2,4,12,12,54,160
71,BR,ND,7,20,0.848527,0.417673,0.134336,7,3,61,0,79,5040
72,BR,ND,5,15,0.989257,0.449968,0.260902,3,2,349,0,73,2880
73,BR,ND,7,20,0.877196,0.658218,0.1106,8,2,75,0,81,10240
74,BR,ND,7,10,0.81262,0.646703,0.227159,13,2,233,0,88,8320
75,BR,ND,7,20,0.928245,0.424408,0.277408,10,3,443,0,83,7200
76,BR,ND,7,15,0.987641,0.405853,0.111279,15,2,73,0,94,14400
77,BR,ND,7,5,0.826091,0.588252,0.255772,4,3,250,250,54,720
