run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
1,BD,ND,5,5,0.847198,0.690755,0.228802,2,4,135,135,54,160
2,BD,ND,7,10,0.990747,0.638418,0.127891,8,2,46,0,77,5120
3,BD,ND,7,5,0.804538,0.685457,0.193476,10,4,45,0,80,800
4,BD,ND,7,10,0.920626,0.600248,0.190852,5,2,90,0,72,3200
5,BD,ND,7,20,0.939731,0.630553,0.220986,9,4,104,0,80,2880
6,BD,ND,3,15,0.892525,0.690652,0.270395,1,2,197,139,56,960
7,BD,ND,7,10,0.855261,0.528377,0.223305,6,3,87,0,73,2160
8,BD,ND,7,5,0.964447,0.472406,0.234681,2,3,107,107,54,360
9,BD,ND,7,20,0.87394,0.601114,0.104453,15,2,64,0,92,19200
10,BD,ND,5,15,0.950639,0.680123,0.116318,6,4,18,0,73,1440
11,BD,ND,7,15,0.844756,0.451156,0.175085,5,3,66,0,72,2700
12,BD,ND,7,15,0.901378,0.637486,0.205014,3,3,72,0,68,1620
13,BD,ND,5,20,0.921596,0.658016,0.124066,14,3,58,0,90,10080
14,BD,ND,3,5,0.85552,0.624917,0.280674,1,2,215,215,54,320
15,BD,ND,7,20,0.999702,0.452714,0.190993,3,2,127,0,68,3840
16,BD,ND,5,10,0.94895,0.641711,0.147192,13,2,74,0,87,8320
17,BD,ND,7,5,0.995434,0.683155,0.134877,7,2,29,0,77,2240
18,BD,ND,7,10,0.925166,0.411609,0.197338,11,4,41,41,54,1760
19,BD,ND,5,15,0.86508,0.449401,0.149515,10,4,26,26,54,2400
20,BD,ND,7,5,0.885838,0.528451,0.156757,4,3,23,0,68,720
21,BD,ND,5,15,0.992396,0.415913,0.283886,13,4,259,0,99,3120
22,BD,ND,7,10,0.941043,0.571241,0.117693,1,4,11,0,58,160
23,BD,ND,3,5,0.979833,0.516654,0.175473,14,3,31,0,93,2520
24,BD,ND,7,5,0.870639,0.4023,0.118448,7,4,7,0,74,560
25,BD,ND,7,5,0.937462,0.634239,0.109137,11,3,12,0,84,1980
26,BD,ND,3,10,0.976259,0.49349,0.115279,13,4,11,0,85,2080
27,BD,ND,7,15,0.886097,0.582985,0.281415,1,2,180,115,56,960
28,BD,ND,7,5,0.990575,0.65603,0.274935,15,2,150,0,92,4800
29,BD,ND,7,5,0.886379,0.539865,0.166821,4,3,23,0,68,720
30,BD,ND,3,10,0.916377,0.564803,0.213948,11,2,85,0,84,7040
31,BD,ND,3,5,0.825165,0.42279,0.281094,10,4,285,285,54,800
32,BD,ND,5,10,0.823633,0.409607,0.16414,2,3,34,0,64,720
33,BD,ND,7,20,0.835776,0.692216,0.178344,6,4,34,0,75,1920
34,BD,ND,7,20,0.878502,0.430189,0.256603,15,2,212,0,94,19200
35,BD,ND,7,10,0.894528,0.411182,0.135646,7,4,12,0,77,1120
36,BD,ND,3,20,0.964428,0.583642,0.268231,6,2,222,0,76,7680
37,BD,ND,3,10,0.883159,0.472533,0.263065,2,4,203,203,54,320
38,BD,ND,3,10,0.933583,0.539919,0.237095,3,4,134,134,54,480
39,BD,ND,5,10,0.805038,0.419497,0.142814,13,2,65,0,89,8320
40,BD,ND,7,10,0.938872,0.541827,0.286778,9,2,169,0,80,5760
41,BD,ND,7,10,0.803695,0.545545,0.225059,5,2,94,0,73,3200
42,BD,ND,7,20,0.972943,0.443028,0.196954,4,3,72,0,72,2880
43,BD,ND,3,20,0.864718,0.566346,0.231378,4,3,106,0,72,2880
44,BD,ND,5,20,0.858024,0.676576,0.282442,12,4,197,197,54,3840
45,BD,ND,3,15,0.818883,0.499366,0.113968,7,3,39,0,77,3780
46,BD,ND,7,20,0.92831,0.616971,0.129268,8,3,44,0,77,5760
47,BD,ND,3,10,0.953182,0.406033,0.162387,3,2,63,0,69,1920
48,BD,ND,3,15,0.946579,0.543515,0.241433,9,4,155,155,54,2160
49,BD,ND,3,10,0.999124,0.56548,0.104527,7,3,22,0,75,2520
50,BD,ND,5,15,0.983245,0.698988,0.126396,14,4,12,0,90,3360
51,BD,ND,7,20,0.819734,0.418075,0.189572,12,2,147,0,88,15360
